Playlist Name,Om Namah Shivay
Description,Stay blessed with these divine tunes in reverence to Lord Shiva.
Saves/Followers,"37,476 saves"
Number of Songs,100 songs
Total Duration,about 7 hr 30 min

No,Track Name,Album,Date Added,Duration,Artists
1,Namo Namo,,1,5:22,Amit Trivedi
2,Laagi Lagan Shankara,,2,3:56,Hansraj Raghuwanshi
3,Har Har Shambhu Shiv Mahadeva,,3,5:59,"Jeetu Sharma, Abhilipsa Panda"
4,Shiv Tandav Stotram,,4,9:13,Shankar Mahadevan
5,Mere Baba,,5,4:00,"Jubin Nautiyal, Payal Dev, Manoj Muntashir"
6,Ganga Dharay Shiv Ganga Dharay,,6,4:34,"Sundeep Gosswami, Kanchhan Srivas"
7,Jai Kaal Mahakaal,,7,3:27,Manan Bhardwaj
8,Shiv Sama Rahe,,8,5:33,Hansraj Raghuwanshi
9,Shiv Panchakshar Stotra,,9,3:22,"Sachet Tandon, Parampara Tandon"
10,Mere Bhole Nath,,10,3:24,Jubin Nautiyal
11,Shiva Mantra Ghanapaatha,,11,5:52,Uma Mohan
12,Rudrashtakam,,12,5:12,Agam Aggarwal
13,Parvati Boli Shankar Se,,13,7:19,"Hansraj Raghuwanshi, Bharat Kamal"
14,Mahakaal,,14,4:44,"B Praak, Jaani"
15,Har Har Mahadev,,15,3:15,"Sachet Tandon, Parampara Tandon, Sachet-Parampara"
16,Har Har Shambhu,,16,4:07,"Jubin Nautiyal, Payal Dev, Manoj Muntashir"
17,Shiv Dhun,,17,4:09,"Agam Aggarwal, Narci, Siddharth Sharma"
18,Bhole Shankar,,18,3:58,Hansraj Raghuwanshi
19,Gaura ji ko Lene aye Bholenath Ji,,19,4:37,"Jeetu Sharma, Ankita Dash"
20,Kaal Bhairav Ashtakam (The Beginning),,20,3:04,"Sachet Tandon, Parampara Tandon, Sachet-Parampara"
